permitnum,permitclass,permitclassmapped,permittypemapped,permittypedesc,description,housingunits,statuscurrent,relatedmup,originaladdress1,originalcity,originalstate,originalzip,link,latitude,longitude,location1,daysoutcorrections,numberreviewcycles,dependentbuilding,housingcategory,contractorcompanyname,estprojectcost,applieddate,housingunitsremoved,housingunitsadded,issueddate,expiresdate,completeddate,zoning,dwellingunittype,standardplan,parentpermitnum
3010360-EX,Commercial,Non-Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Street Improvement Exception,Exception/Exemption Request for: Land Use Application to allow a 5 600 sq. ft. addition to an existing 13 573 sq. ft. manufacturing building for a total of 19 173 sq. ft. (B & G Machine). No change in parking.,0.0,Completed,3010360-LU,13 S NEVADA ST,SEATTLE,WA,98134,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3010360-EX'},47.56542425,-122.34135422,"{'latitude': '47.56542425', 'longitude': '-122.34135422'}",0,0,0,N/A,,,,,,,,,,,,
3010428-EX-001,Single Family/Duplex,Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: Land Use Application to subdivide one parcel into four parcels of land in an environmentally critical area.  Proposed parcel sizes are: A) 5 368 sq. ft.; B) 5 259 sq. ft.; C) 7 006 sq. ft. and D) 11 904 sq. ft.,0.0,Completed,3010428-LU,4601 S JUNEAU ST,SEATTLE,WA,98118,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3010428-EX-001'},47.54909539,-122.27504211,"{'latitude': '47.54909539', 'longitude': '-122.27504211'}",0,0,0,N/A,,,,,,,,,,,,
3010512-EX,Commercial,Non-Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: Land Use Application to demolish six commercial structures totaling 76 727 sq. ft. in an environmentally critical area.  All demolish under separate permits  per plans.,0.0,Completed,3010512-LU,1207 WESTLAKE AVE N,SEATTLE,WA,98109,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3010512-EX'},47.63002641,-122.34142345,"{'latitude': '47.63002641', 'longitude': '-122.34142345'}",0,0,0,N/A,,,,,,,,,,,,
3010971-EX,Industrial,Non-Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: Shoreline Substantial Development Application to install land based crane with a 90 sq. ft. footprint in an environmentally critical area. Maximum height of crane will be 52.8'.,0.0,Completed,3010971-LU,469 NW BOWDOIN PL,SEATTLE,WA,98107,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3010971-EX'},47.65471127,-122.36259081,"{'latitude': '47.65471127', 'longitude': '-122.36259081'}",0,0,0,N/A,,,,,,,,,,,,
3009043-EX,Single Family/Duplex,Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: Land Use Application to allow two  2-unit and two  3-unit townhouse structures (10 units total).  Parking for 10 vehicles provided within the structures. Environmental review to also include future full unit lot subdivision.,0.0,Completed,3009043-LU,4624 S DIRECTOR ST,SEATTLE,WA,98118,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3009043-EX'},47.52258945,-122.27332297,"{'latitude': '47.52258945', 'longitude': '-122.27332297'}",0,0,0,N/A,,,,,,,,,,,,
3009127-EX,Commercial,Non-Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Street Improvement Exception,Exception/Exemption Request for: Land Use Application to allow a 3-story building containing 4 000 sq. ft. of office space over 2 000 sq. ft. of ground level retail (Casa Latina). Parking for 8 vehicles to be provided at grade.  Project includes 381 cu. yds. of grading.  Existing structures to remain.,0.0,Completed,3009127-LU,1614 S JACKSON ST,SEATTLE,WA,98144,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3009127-EX'},47.59938445,-122.31075857,"{'latitude': '47.59938445', 'longitude': '-122.31075857'}",0,0,0,N/A,,,,,,,,,,,,
3009527-EX,Multifamily,Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: Cancelled due to lack of activity  mgc. 10/26/10. Land Use Application to allow one  4-unit townhouse structure and two  2-unit townhouse structures for a total of eight residential units. Parking for 8 vehicles to be provided below grade. Existing structures to be demolished. Project also includes 2 260 cu. yds. of material.,0.0,Canceled,3009527-LU,2904 S JACKSON ST,SEATTLE,WA,98144,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3009527-EX'},47.59934557,-122.29468967,"{'latitude': '47.59934557', 'longitude': '-122.29468967'}",,,0,N/A,,,,,,,,,,,,
3009532-EX,Single Family/Duplex,Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: Land Use Application to allow an expansion of an existing church (Fauntleroy Church  a City designated landmark structure) that will include 832 sq. ft. of new office space  expansion of existing narthex  and the addition of one elevator.  Project includes 70 cubic yards of grading for two exterior patios.  No change in parking.  Additional approval required by the Department of Neighborhoods / Landmarks Preservation Board.,0.0,Completed,3009532-LU,9140 CALIFORNIA AVE SW,SEATTLE,WA,98136,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3009532-EX'},47.52097937,-122.38689267,"{'latitude': '47.52097937', 'longitude': '-122.38689267'}",0,0,0,N/A,HOWARD S WRIGHT CONST CO,,,,,,,,,,,
3009821-EX,Single Family/Duplex,Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: Land Use Application to subdivide one parcel into three parcels of land. Proposed parcel sizes are: A) 7 128 sq. ft.  B) 6 536 sq. ft. and C) 6 438 sq. ft.  Existing structure to remain.,0.0,Completed,3009821-LU,3537 S MORGAN ST,SEATTLE,WA,98118,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3009821-EX'},47.54409867,-122.28719304,"{'latitude': '47.54409867', 'longitude': '-122.28719304'}",0,0,0,N/A,,,,,,,,,,,,
3007251-EX,Multifamily,Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Street Improvement Exception,Exception/Exemption Request for: Land Use Application to allow two  4-unit townhouse structures (totaling eight units) in an environmentally critical area. Parking for eight vehicles to be provided at grade. Project includes 200 cu. yds. of grading under separate permit.,0.0,Completed,3007251-LU,7758 DELRIDGE WAY SW,SEATTLE,WA,98106,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3007251-EX'},47.53211282,-122.36012863,"{'latitude': '47.53211282', 'longitude': '-122.36012863'}",0,0,0,N/A,,,,,,,,,,,,
